experiment_id,created_at,ok,action,target,frames,experience_hit,message
01be008c65b1440f,2026-09-11T11:09:50.779006+00:00,True,grab,red_cup,4,False,指令已在虚拟引擎中执行
2b80af916a594c0f,2026-09-11T11:09:50.787024+00:00,True,grab,red_cup,4,True,指令已在虚拟引擎中执行
68e8c138080744cb,2026-09-11T11:09:50.789021+00:00,False,,,0,False,暂时无法识别该指令，请换一种说法试试。
83f8538a1c814265,2026-09-11T11:09:51.236882+00:00,True,grab,red_cup,4,True,指令已在虚拟引擎中执行
6c0abfcecd0a45cf,2026-09-11T11:09:51.239227+00:00,False,,,0,False,暂时无法识别该指令，请换一种说法试试。
68040014df4248ba,2026-09-11T11:12:48.722174+00:00,True,move,,1,False,step1
aadd6afb747c43a0,2026-09-11T11:12:49.083391+00:00,True,grab,red_cup,4,True,指令已在虚拟引擎中执行
e74d2c71dfb34eee,2026-09-11T11:12:49.091977+00:00,True,grab,red_cup,4,True,指令已在虚拟引擎中执行
3646fa2c421947e0,2026-09-11T11:12:49.541650+00:00,True,grab,red_cup,4,True,指令已在虚拟引擎中执行
5bcec1fdd10b4990,2026-09-11T11:12:49.549831+00:00,True,grab,red_cup,4,True,指令已在虚拟引擎中执行
77d8512057fb49ff,2026-09-11T11:12:49.551831+00:00,False,,,0,False,暂时无法识别该指令，请换一种说法试试。
df245e7edd234ed8,2026-09-11T11:12:49.882894+00:00,True,grab,red_cup,4,True,指令已在虚拟引擎中执行
c24eccab4b134c2a,2026-09-11T11:12:49.884904+00:00,False,,,0,False,暂时无法识别该指令，请换一种说法试试。
b2a86c9c521f497b,2026-09-11T11:16:17.971610+00:00,True,grab,red_cup,4,True,指令已在虚拟引擎中执行
856f9ea532b144b8,2026-09-11T11:16:17.973608+00:00,False,,,0,False,暂时无法识别该指令，请换一种说法试试。
c47461d6319a4e7d,2026-09-11T11:16:17.975617+00:00,False,,,0,False,思考遇到一些阻碍，请稍后再试。
8958a00345494364,2026-09-11T11:16:18.989139+00:00,True,grab,red_cup,4,True,指令已在虚拟引擎中执行
23cc417f68df44a1,2026-09-11T11:16:18.991137+00:00,False,,,0,False,暂时无法识别该指令，请换一种说法试试。
6635a4a823984672,2026-09-11T11:16:19.127175+00:00,True,move,,1,False,step1
8d4c9c9f696447e8,2026-09-11T11:16:19.461578+00:00,True,grab,red_cup,4,True,指令已在虚拟引擎中执行
23c8f6333b10497f,2026-09-11T11:16:19.470018+00:00,True,grab,red_cup,4,True,指令已在虚拟引擎中执行
6c701ed254fc4f95,2026-09-11T11:16:19.968480+00:00,True,grab,red_cup,4,True,指令已在虚拟引擎中执行
5ce8c59bb7b64f7c,2026-09-11T11:16:19.975479+00:00,True,grab,red_cup,4,True,指令已在虚拟引擎中执行
968ed505e25e4916,2026-09-11T11:16:19.976947+00:00,False,,,0,False,暂时无法识别该指令，请换一种说法试试。
2bccf4cfda1d4938,2026-09-11T11:20:02.870492+00:00,True,grab,red_cup,4,True,指令已在虚拟引擎中执行
b640d446e1804619,2026-09-11T11:20:02.877593+00:00,True,grab,red_cup,4,True,指令已在虚拟引擎中执行
33002e9c145d46e6,2026-09-11T11:20:02.879594+00:00,False,,,0,False,暂时无法识别该指令，请换一种说法试试。
8965ba54993544cd,2026-09-11T11:20:03.228186+00:00,True,grab,red_cup,4,True,指令已在虚拟引擎中执行
af2492c9cb7c4ad9,2026-09-11T11:20:03.231196+00:00,False,,,0,False,暂时无法识别该指令，请换一种说法试试。
30f59dc958274438,2026-09-11T11:21:46.966244+00:00,True,grab,red_cup,4,True,指令已在虚拟引擎中执行
793b2ea1f87940fd,2026-09-11T11:21:46.973963+00:00,True,grab,red_cup,4,True,指令已在虚拟引擎中执行
1e3e0fee71064c55,2026-09-11T11:21:46.974962+00:00,False,,,0,False,暂时无法识别该指令，请换一种说法试试。
54f3a0e0a5024807,2026-09-11T11:23:58.716084+00:00,True,grab,red_cup,4,True,指令已在虚拟引擎中执行
2c2858524eb144d0,2026-09-11T11:23:58.724610+00:00,True,grab,red_cup,4,True,指令已在虚拟引擎中执行
f8e0a51bbbb24406,2026-09-11T11:23:58.726659+00:00,False,,,0,False,暂时无法识别该指令，请换一种说法试试。
5aace3f87beb4a2b,2026-09-11T11:26:36.544751+00:00,True,home,,4,False,指令已在虚拟引擎中执行
6d48589ab55543e0,2026-09-11T11:26:36.589757+00:00,True,grab,red_cup,4,True,指令已在虚拟引擎中执行
0d64b46b0ce946d5,2026-09-11T11:26:39.245260+00:00,True,grab,red_cup,4,True,指令已在虚拟引擎中执行
